Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 9 
block_start,block_end,average_distance
1,10,0.4857279459635417
2,11,0.4770515637520032
3,12,0.46025359324919873
4,13,0.2240318885216346
5,14,0.1797634026943109
6,15,0.12822273450020033
7,16,0.0955654046474359
8,17,0.10408802521534455
9,18,0.10027195857121395
10,19,0.1052384987855569
11,20,0.09801757029997997
12,21,0.09570938501602565
13,22,0.09294480543870193
14,23,0.09141990465995593
15,24,0.09237181834685497
16,25,0.09323570055839343
17,26,0.4708298903245192
Layer 14 to 23 is the best block to prune.
