Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 7 
block_start,block_end,average_distance
1,8,0.45573229667467946
2,9,0.46872182992788464
3,10,0.46361991686698717
4,11,0.22081932654747596
5,12,0.17027869591346154
6,13,0.11883466671674679
7,14,0.08289924034705529
8,15,0.08712925055088142
9,16,0.071868896484375
10,17,0.07813419439853767
11,18,0.09530150584685497
12,19,0.10192342904897836
13,20,0.09395227676782852
14,21,0.0925764426206931
15,22,0.09146626790364583
16,23,0.08800995655548878
17,24,0.08200131929837741
18,25,0.08661592923677884
19,26,0.44813263721955127
Layer 9 to 16 is the best block to prune.
