Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 4 
block_start,block_end,average_distance
1,5,0.32877291165865385
2,6,0.37843909630408656
3,7,0.4204829289362981
4,8,0.18761189778645834
5,9,0.1623715131710737
6,10,0.11163936517177483
7,11,0.06624260926857972
8,12,0.06913278041741787
9,13,0.04743791237855569
10,14,0.05395048092573117
11,15,0.05638200808794071
12,16,0.062395633795322515
13,17,0.0699300521459335
14,18,0.08820166954627404
15,19,0.09471795497796474
16,20,0.08579175900190304
17,21,0.07312745314378005
18,22,0.07257158328325321
19,23,0.0665754660581931
20,24,0.06271313398312299
21,25,0.06130414131360176
22,26,0.44513565454727566
Layer 9 to 13 is the best block to prune.
