Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 10 
block_start,block_end,average_distance
1,11,0.48555657802483976
2,12,0.4739998059395032
3,13,0.46482653495592946
4,14,0.22698309482672277
5,15,0.18349398099459135
6,16,0.13486304649939904
7,17,0.10449023124499199
8,18,0.11981533735226362
9,19,0.10890804192958733
10,20,0.09917919452373798
11,21,0.09712277925931491
12,22,0.09443860176282051
13,23,0.09145785600711138
14,24,0.09312086838942307
15,25,0.09402622320713142
16,26,0.4806471604567308
Layer 13 to 23 is the best block to prune.
