Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 8 
block_start,block_end,average_distance
1,9,0.4785148424979968
2,10,0.4770194811698718
3,11,0.463527581630609
4,12,0.21855672200520834
5,13,0.17606529822716346
6,14,0.12415861472105369
7,15,0.08759679549779648
8,16,0.09506538586738782
9,17,0.08159480950771233
10,18,0.09679549779647435
11,19,0.10391978728465545
12,20,0.09647878011067708
13,21,0.09359565147986779
14,22,0.0924833248823117
15,23,0.09052354861528446
16,24,0.09050535544370994
17,25,0.08682583539913862
18,26,0.4579420823317308
Layer 9 to 17 is the best block to prune.
