Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 3 
block_start,block_end,average_distance
1,4,0.2797953287760417
2,5,0.314968011318109
3,6,0.3652328099959936
4,7,0.17734195024539262
5,8,0.1390073727338742
6,9,0.10123952229817708
7,10,0.0635059063251202
8,11,0.06438759045723157
9,12,0.040636502779447116
10,13,0.04345106467222556
11,14,0.0508575439453125
12,15,0.05192644168169071
13,16,0.05781741020007011
14,17,0.06797555776742789
15,18,0.08575282952724358
16,19,0.08782117794721554
17,20,0.0699611566005609
18,21,0.06523337730994591
19,22,0.06107408572465946
20,23,0.055561163486578524
21,24,0.05116565410907452
22,25,0.052218021490635015
23,26,0.44503471178886217
Layer 9 to 12 is the best block to prune.
