Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 11 
block_start,block_end,average_distance
1,12,0.48155799278846156
2,13,0.47843346228966344
3,14,0.46584222255608976
4,15,0.23035450470753205
5,16,0.188783694536258
6,17,0.14290931897285658
7,18,0.12083239433092949
8,19,0.12755154340695113
9,20,0.10285499768379407
10,21,0.09807273669120593
11,22,0.09550867325220352
12,23,0.09281471448066907
13,24,0.09281667073567708
14,25,0.09469819680238381
15,26,0.4856583032852564
Layer 12 to 23 is the best block to prune.
