Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 1 
block_start,block_end,average_distance
1,2,0.073487306252504
2,3,0.04802615825946514
3,4,0.25046558869190705
4,5,0.06464493580353566
5,6,0.07608266977163461
6,7,0.06506073780548878
7,8,0.03183315961788862
8,9,0.04941715338291266
9,10,0.02671393370017027
10,11,0.028155204577323716
11,12,0.03017596709422576
12,13,0.032423166128305286
13,14,0.03375048515124199
14,15,0.03752737778883714
15,16,0.044253618289262824
16,17,0.05707217485476763
17,18,0.05660668397561098
18,19,0.05085480518830128
19,20,0.039240274673853166
20,21,0.035857860858623795
21,22,0.034044656998071916
22,23,0.029191628480568912
23,24,0.02775994325295473
24,25,0.03415479415502304
25,26,0.4374984349959936
Layer 9 to 10 is the best block to prune.
