Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 6 
block_start,block_end,average_distance
1,7,0.4460198818108974
2,8,0.4418021960136218
3,9,0.4555006760817308
4,10,0.22023479755108172
5,11,0.17183978740985578
6,12,0.1124114990234375
7,13,0.07556856595552884
8,14,0.08266781537960737
9,15,0.06244678986378205
10,16,0.06828914544521233
11,17,0.07637473864433093
12,18,0.0931552984775641
13,19,0.09933217366536458
14,20,0.09261243771284054
15,21,0.0912471673427484
16,22,0.08786734556540465
17,23,0.07840943947816506
18,24,0.08040325458233173
19,25,0.07960099440354568
20,26,0.4489127917167468
Layer 9 to 15 is the best block to prune.
