Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 2 
block_start,block_end,average_distance
1,3,0.07829871544471154
2,4,0.26470712515024036
3,5,0.3007354736328125
4,6,0.12437047713842148
5,7,0.12832172100360578
6,8,0.07677948780548878
7,9,0.052644582895132214
8,10,0.06122168516501402
9,11,0.033847808837890625
10,12,0.03656631860977564
11,13,0.039551270313752
12,14,0.044388991135817304
13,15,0.04498838767027243
14,16,0.05385452661758814
15,17,0.06493622217422877
16,18,0.0789186526567508
17,19,0.07061689327924679
18,20,0.05734830024914864
19,21,0.05062670585436699
20,22,0.04897738725711138
21,23,0.043324201534955926
22,24,0.039038438063401446
23,25,0.044061514047475964
24,26,0.4424939277844551
Layer 9 to 11 is the best block to prune.
