Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 12 
block_start,block_end,average_distance
1,13,0.4861614520733173
2,14,0.47939359224759615
3,15,0.46861071464342946
4,16,0.23484176244491187
5,17,0.19514895708133012
6,18,0.15750435071113783
7,19,0.1284811557867588
8,20,0.12294867099859776
9,21,0.10196920541616586
10,22,0.09645315317007211
11,23,0.09362343030098157
12,24,0.0939317360902444
13,25,0.09413557786207932
14,26,0.4870292467948718
Layer 11 to 23 is the best block to prune.
