Analysis of Layer Similarities for gemma_1b_reasonning 
Number of Layers to Skip : 10 
block_start,block_end,average_distance
1,11,0.4913827789699571
2,12,0.4675837831947425
3,13,0.44350502112392703
4,14,0.20377359676770387
5,15,0.13585063623256438
6,16,0.10566285751408262
7,17,0.10557064989605687
8,18,0.10886130926435086
9,19,0.11112275348712447
10,20,0.10553790571351931
11,21,0.10450921447491952
12,22,0.1013867292281384
13,23,0.10206152134187232
14,24,0.10532834294527897
15,25,0.11222374388076717
16,26,0.47914012204935624
Layer 12 to 22 is the best block to prune.
