Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 8 
block_start,block_end,average_distance
1,9,0.47534962189503205
2,10,0.46945972931690705
3,11,0.4126751239483173
4,12,0.18721595177283654
5,13,0.14154365735176283
6,14,0.1003265380859375
7,15,0.07929229736328125
8,16,0.08258545704377003
9,17,0.07593771127554086
10,18,0.08446170122195513
11,19,0.08904618483323318
12,20,0.08486077724358974
13,21,0.08546956380208333
14,22,0.0842433831630609
15,23,0.08475513947315705
16,24,0.08525594075520833
17,25,0.08244969294621395
18,26,0.45824491060697115
Layer 9 to 17 is the best block to prune.
