Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 11 
block_start,block_end,average_distance
1,12,0.4812778570713141
2,13,0.4691209059495192
3,14,0.4142503004807692
4,15,0.19521155724158654
5,16,0.15369747846554488
6,17,0.11911695431440304
7,18,0.10746393448267227
8,19,0.1088880881285056
9,20,0.0928645989833734
10,21,0.09063779390775241
11,22,0.08922244340945513
12,23,0.08820773393679888
13,24,0.08984570625500801
14,25,0.08983905498798077
15,26,0.4852130596454327
Layer 12 to 23 is the best block to prune.
