Analysis of Layer Similarities for Ministral-8B-Instruct-2410 
Number of Layers to Skip : 19 
block_start,block_end,average_distance
1,20,0.40342195859678986
2,21,0.38237599176191633
3,22,0.38981943093385213
4,23,0.3880691231456712
5,24,0.38544342397251946
6,25,0.38124173531736383
7,26,0.37823320084508755
8,27,0.3747881581347276
9,28,0.3728098591014105
10,29,0.35976496002553504
11,30,0.3651279790856031
12,31,0.35329285855423154
13,32,0.35293472230666345
14,33,0.3666113471242704
15,34,0.36688826149075876
16,35,0.386714000182393
17,36,0.44829348553015563
Layer 13 to 32 is the best block to prune.
