Analysis of Layer Similarities for Ministral-8B-Instruct-2410 
Number of Layers to Skip : 20 
block_start,block_end,average_distance
1,21,0.39625970862718873
2,22,0.383413351927286
3,23,0.3929885092412451
4,24,0.3885854283195525
5,25,0.38759699127553504
6,26,0.38227292071984437
7,27,0.3792838604997568
8,28,0.37517051845209143
9,29,0.37461763968263617
10,30,0.3625075047118191
11,31,0.36773562895184825
12,32,0.3568271978356031
13,33,0.36716897571133267
14,34,0.3778855141962549
15,35,0.3965233235043774
16,36,0.4549479799975681
Layer 12 to 32 is the best block to prune.
