Analysis of Layer Similarities for Ministral-8B-Instruct-2410 
Number of Layers to Skip : 18 
block_start,block_end,average_distance
1,19,0.4008033841500486
2,20,0.3903689848309825
3,21,0.3875618426252432
4,22,0.3842659441877432
5,23,0.38405172741366733
6,24,0.37876755532587547
7,25,0.37714976744893
8,26,0.373699974920963
9,27,0.37229640381809337
10,28,0.35785695829280156
11,29,0.36221301602018485
12,30,0.3509958467594844
13,31,0.3486451620257782
14,32,0.3538956104085603
15,33,0.35438721653088523
16,34,0.3546508314080739
17,35,0.37672703368190663
18,36,0.44028624300826846
Layer 13 to 31 is the best block to prune.
