Analysis of Layer Similarities for Ministral-8B-Instruct-2410 
Number of Layers to Skip : 21 
block_start,block_end,average_distance
1,22,0.39715029942850194
2,23,0.3862632424914883
3,24,0.3926968704401751
4,25,0.39043880714980544
5,26,0.3881712442242218
6,27,0.38308276462183855
7,28,0.3796752454705739
8,29,0.37665151158195526
9,30,0.37721911478599224
10,31,0.3645014781432393
11,32,0.3720351638497082
12,33,0.37140343810797666
13,34,0.37765894789640075
14,35,0.4046212875425584
15,36,0.4607280330435311
Layer 10 to 31 is the best block to prune.
