Analysis of Layer Similarities for Ministral-8B-Instruct-2410 
Number of Layers to Skip : 22 
block_start,block_end,average_distance
1,23,0.39865409168287935
2,24,0.38246338840588523
3,25,0.39419543789518485
4,26,0.390296787603356
5,27,0.3884396089190175
6,28,0.3835040734435798
7,29,0.381089266172179
8,30,0.3791570403696498
9,31,0.37932708383998054
10,32,0.36761688351167315
11,33,0.3825645595209144
12,34,0.38079857733463035
13,35,0.40485402860530156
14,36,0.4631361905702821
Layer 10 to 32 is the best block to prune.
